회사이름,위치,위도,경도,규모,상장여부,로봇 유형,부분별,수상,,설립일,부지 선정 이유
업종 안써있음,성남시 분당구,,,대기업,비상장,unknown,,,,,
의료기기 연구소,성남시 분당구,,,중소기업,비상장,healthcare,,,,,
기계 제조 대기업,서울 강남구,,,대기업,상장,unknown,,,,,
현대무벡스,인천 서구 파랑로466번길 15,37.5225901,126.6530313,중견기업,상장,"AMR, AGV",,,,,
현대로보틱스,경기 성남시 분당구 분당수서로 477,37.37628248838,127.105283805555,대기업,상장,industrial,,,,,
하이젠모터,경남 창원시 성산구 공단로473번길 57 하이젠모터(주),35.2076,128.6732139,중소기업,비상장,"AMR, industrial, wearable",,,,,
로아스,경기 안양시 동안구 엘에스로116번길 39 엘에스엠트론 하이테크센타 사무동 402호,37.3738,126.9499,중소기업,비상장,"AMR, AGV, industrial, 4foot",,,,,
레인보우로보틱스,대전 유성구 엑스포로339번길 10-19 레인보우로보틱스,36.38745,127.4039591,중소기업,상장,"industrial, 4foor, 2foot, astro, coffee, AMR",,,,,
나인벨,경기 성남시 중원구 사기막골로 99 센트럴비즈타워 2차 B동 615호,37.4386628027327,127.1741275,외국계,비상장,"industrial, healthcare",,,,,
미스터마인드,경기 성남시 분당구 대왕판교로 660 유스페이스1 A동 12층,37.4010087,127.1063722,벤처기업,비상장,guard,,,,,
케이로보컴퍼니,개화동 376-58번지 2층 강서구 서울특별시,37.5833218,126.7987313,중소기업,비상장,"delivery, guide, cleaning, quarantine",,,,,
에스엔,"대전 유성구 테크노3로 65, 327호 ",36.4292747,127.3907577,중소기업 ,비상장,unknown,,,,,
비트코퍼레이션,경기도 성남시 분당구 분당로 55( 서현동) 9층,37.3828419,127.1216562,중소기업,비상장,coffee,,,,,
에스티씨엔지니어링,경기 평택시 서탄면 수월암길 113-18,37.1233815,127.042929,중소기업,비상장,industrial,,,,,
구루아이오티,서울 금천구 가산디지털1로 219 벽산디지털밸리6차 801-1호,37.4845292,126.8789423,벤처기업,비상장,guard,,,,,
미래컴퍼니,"
서울 송파구 송파대로 155 NH농협빌딩 3층",37.4840821,127.1226814,중견기업,상장,surgery,,,,,
스카우트파트너스,서울 강남구 ,,,대기업,상장,industrial,,,,,
